BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS
457,Swan River First Nation,-115.43341922100001,55.325862744000005,GCS_North_American_1983_CSRS
317,Northlands Denesuline First Nation,-101.48671022299999,58.61925824100001,GCS_North_American_1983_CSRS
328,Marcel Colomb First Nation,-100.58305945900003,56.802825212000016,GCS_North_American_1983_CSRS
283,Sandy Bay,-98.647344379,50.54932331200001,GCS_North_American_1983_CSRS
153,Anishinabe of Wauzhushk Onigum,-94.446428132,49.70772063800001,GCS_North_American_1983_CSRS
167,Moravian of the Thames,-81.87436613300002,42.563978733,GCS_North_American_1983_CSRS
312,Mosakahiken Cree Nation,-100.314820118,53.70558589000001,GCS_North_American_1983_CSRS
176,Sheguiandah,-81.91557368000002,45.88331979999998,GCS_North_American_1983_CSRS
186,Marten Falls First Nation,-85.92350697400002,51.63206220699999,GCS_North_American_1983_CSRS
631,Namgis First Nation,-126.93527443200003,50.596006165999995,GCS_North_American_1983_CSRS
299,Wasagamack First Nation,-94.92727826599997,53.89540940799998,GCS_North_American_1983_CSRS
664,Hupacasath First Nation,-124.82509047500002,49.265798440000026,GCS_North_American_1983_CSRS
164,Mohawks of the Bay of Quinte,-77.14339210700001,44.18693775000003,GCS_North_American_1983_CSRS
267,Bloodvein,-96.69692728000001,51.78341634499998,GCS_North_American_1983_CSRS
470,Chipewyan Prairie First Nation,-110.72428250299998,55.93126092799997,GCS_North_American_1983_CSRS
708,Spuzzum,-121.411473898,49.66102332600002,GCS_North_American_1983_CSRS
204,North Caribou Lake,-91.34701894400001,52.94825438700002,GCS_North_American_1983_CSRS
382,Okanese,-103.355351106,50.943890216,GCS_North_American_1983_CSRS
394,Canoe Lake Cree First Nation,-108.15735364900002,55.163594434000004,GCS_North_American_1983_CSRS
638,Ka:'yu:'k't'h'/Che:k'tles7et'h' First Nations,-127.37823364000002,50.030573781999976,GCS_North_American_1983_CSRS
265,Buffalo Point First Nation,-95.23788000000002,49.01229999999998,GCS_North_American_1983_CSRS
241,Nibinamik First Nation,-88.51612547399998,52.745514926,GCS_North_American_1983_CSRS
592,Xaxli'p,-121.86442381900002,50.73462522400001,GCS_North_American_1983_CSRS
493,Champagne,-136.48136417199999,60.78612792500002,GCS_North_American_1983_CSRS
145,Taykwa Tagamou Nation,-80.83297866100003,49.002912993999985,GCS_North_American_1983_CSRS
219,Matachewan,-80.64052514299999,48.066205516000025,GCS_North_American_1983_CSRS
495,First Nation of Nacho Nyak Dun,-135.897294542,63.59480443699999,GCS_North_American_1983_CSRS
435,Blood,-113.301199355,49.46269915099998,GCS_North_American_1983_CSRS
313,Nisichawayasihk Cree Nation,-98.885751911,55.78300161499999,GCS_North_American_1983_CSRS
235,Washagamis Bay,-94.587144421,49.71450919900002,GCS_North_American_1983_CSRS
216,Cat Lake,-91.81381131,51.719067017999976,GCS_North_American_1983_CSRS
350,Cumberland House Cree Nation,-102.28493071899999,53.941931606000026,GCS_North_American_1983_CSRS
441,Paul,-114.37070698600002,53.52379592699998,GCS_North_American_1983_CSRS
661,Hesquiaht,-126.272092305,49.368357171000014,GCS_North_American_1983_CSRS
474,Woodland Cree First Nation,-116.40428469900002,56.47167840200001,GCS_North_American_1983_CSRS
728,Yekooche First Nation,-125.082199,54.59787799999998,GCS_North_American_1983_CSRS
459,Whitefish Lake,-115.64807170799997,55.91889578399997,GCS_North_American_1983_CSRS
214,Sachigo Lake,-92.17820601199998,53.87288257,GCS_North_American_1983_CSRS
461,Mikisew Cree First Nation,-111.09968765399998,58.757061534,GCS_North_American_1983_CSRS
640,Beecher Bay,-123.60830199899999,48.337563767000006,GCS_North_American_1983_CSRS
653,Tsartlip,-123.46746639899999,48.58127233099998,GCS_North_American_1983_CSRS
644,Esquimalt,-123.43041592600002,48.44493003399998,GCS_North_American_1983_CSRS
692,Oregon Jack Creek,-121.319117044,50.61942152199998,GCS_North_American_1983_CSRS
51,Listuguj Mi'gmaq Government,-66.705116841,48.01294448099998,GCS_North_American_1983_CSRS
32,Mushuau Innu First Nation,-61.119230000000016,55.91395,GCS_North_American_1983_CSRS
72,Odanak,-72.819969174,46.073237921999976,GCS_North_American_1983_CSRS
270,Little Grand Rapids,-95.45558498100002,52.01802833800002,GCS_North_American_1983_CSRS
287,Long Plain,-98.46516606099999,49.85661370399998,GCS_North_American_1983_CSRS
398,Buffalo River Dene Nation,-108.93530929500002,55.929633249000005,GCS_North_American_1983_CSRS
357,Shoal Lake Cree Nation,-102.63231306900002,53.482988035999995,GCS_North_American_1983_CSRS
77,Conseil des Atikamekw de Wemotaci,-73.78731918,47.90259313299998,GCS_North_American_1983_CSRS
81,Naskapi Nation of Kawawachikamach,-66.762016571,54.86363312399999,GCS_North_American_1983_CSRS
376,Yellow Quill,-103.62508117200002,52.30323551700002,GCS_North_American_1983_CSRS
76,Première Nation des Pekuakamiulnuatsh,-72.22900207200001,48.57646281299998,GCS_North_American_1983_CSRS
198,Batchewana First Nation,-84.26152430600001,46.528504741999996,GCS_North_American_1983_CSRS
572,Soowahlie,-121.968958886,49.08102008499998,GCS_North_American_1983_CSRS
540,Kitasoo Xai'xais Nation,-128.520127,52.587428999999986,GCS_North_American_1983_CSRS
248,Bearfoot Onondaga,-80.04797237899999,43.02276061700002,GCS_North_American_1983_CSRS
725,Wet'suwet'en First Nation,-125.8825013,54.329514019999976,GCS_North_American_1983_CSRS
707,Skuppah,-121.57386086899999,50.187592161,GCS_North_American_1983_CSRS
370,James Smith,-104.87757488300002,53.10570600099999,GCS_North_American_1983_CSRS
409,Pheasant Rump Nakota,-102.68214499999999,49.66009500000001,GCS_North_American_1983_CSRS
71,Première Nation des Abénakis de Wôlinak,-72.42162154300001,46.328638481999974,GCS_North_American_1983_CSRS
406,Ahtahkakoop,-106.93053164399998,53.37144851099998,GCS_North_American_1983_CSRS
188,Gull Bay,-89.106557995,49.804457619000004,GCS_North_American_1983_CSRS
59,Cree Nation of Nemaska,-76.25514600000002,51.68526200000002,GCS_North_American_1983_CSRS
605,Shuswap Band,-116.00726478799999,50.51585948000002,GCS_North_American_1983_CSRS
207,Bearskin Lake,-90.96723586399997,53.924095685,GCS_North_American_1983_CSRS
545,West Moberly First Nations,-121.83092384100001,55.830633784999975,GCS_North_American_1983_CSRS
362,Kahkewistahaw,-102.53143699999998,50.491236000000015,GCS_North_American_1983_CSRS
616,Okanagan,-119.318103845,50.356222023999976,GCS_North_American_1983_CSRS
12,Oromocto First Nation,-66.46406400000001,45.853387999999995,GCS_North_American_1983_CSRS
18,Wasoqopa’q First Nation,-66.08350771800002,43.833123820000026,GCS_North_American_1983_CSRS
5,Esgenoopetitj First Nation,-65.117317592,47.208108729,GCS_North_American_1983_CSRS
582,Skawahlook First Nation,-121.60618363700002,49.356845609000004,GCS_North_American_1983_CSRS
536,Gitwangak,-128.05582700000002,55.10239999999999,GCS_North_American_1983_CSRS
254,Lower Mohawk,-80.11908300599998,43.04322133199997,GCS_North_American_1983_CSRS
194,Animbiigoo Zaagi'igan Anishinaabek,-87.959058492,49.602615034999985,GCS_North_American_1983_CSRS
229,Chapleau Ojibway,-83.393917343,47.81600843799998,GCS_North_American_1983_CSRS
699,Nooaitch,-121.03734459999998,50.15397819999998,GCS_North_American_1983_CSRS
9,Fort Folly,-64.50283827999999,45.89065632400002,GCS_North_American_1983_CSRS
353,Lac La Ronge,-105.30381046899998,55.098885457999984,GCS_North_American_1983_CSRS
717,Yunesit'in Government,-123.13992751699999,51.92683274500001,GCS_North_American_1983_CSRS
591,Cayoose Creek,-121.934060123,50.67430382499998,GCS_North_American_1983_CSRS
257,Upper Mohawk,-80.170455113,43.068589965,GCS_North_American_1983_CSRS
625,Kwikwasut'inuxw Haxwa'mis,-126.60063326300002,50.69639678599998,GCS_North_American_1983_CSRS
